landmark_checklist: 5 seeds x 15000 steps x 100-eval, coef=0.05

[baseline] starting seed=1000 (15000 steps)...
  [seed=1003] step=2800/15000 avg_step=16.1ms elapsed=45s eta=197s eval(20)=0.550
  [seed=1003] step=3000/15000 avg_step=16.3ms elapsed=49s eta=195s eval(20)=0.450
  [seed=1003] step=3200/15000 avg_step=16.4ms elapsed=53s eta=194s eval(20)=0.500
  [seed=1003] step=3400/15000 avg_step=16.5ms elapsed=56s eta=192s eval(20)=0.500
  [seed=1003] step=3600/15000 avg_step=16.7ms elapsed=60s eta=190s eval(20)=0.550
  [seed=1003] step=3800/15000 avg_step=16.8ms elapsed=64s eta=188s eval(20)=0.550
  [seed=1003] step=4000/15000 avg_step=16.8ms elapsed=67s eta=185s eval(20)=0.550
  [seed=1003] step=4200/15000 avg_step=16.9ms elapsed=71s eta=183s eval(20)=0.700
  [seed=1003] step=4400/15000 avg_step=17.0ms elapsed=75s eta=180s eval(20)=0.800
  [seed=1003] step=4600/15000 avg_step=17.1ms elapsed=78s eta=177s eval(20)=0.850
  [seed=1003] step=4800/15000 avg_step=17.1ms elapsed=82s eta=175s eval(20)=0.800
  [seed=1003] step=5000/15000 avg_step=17.2ms elapsed=86s eta=172s eval(20)=0.700
  [seed=1003] step=5200/15000 avg_step=17.2ms elapsed=90s eta=169s eval(20)=0.750
  [seed=1003] step=5400/15000 avg_step=17.3ms elapsed=93s eta=166s eval(20)=0.700
  [seed=1003] step=5600/15000 avg_step=17.3ms elapsed=97s eta=163s eval(20)=0.600
  [seed=1003] step=5800/15000 avg_step=17.4ms elapsed=101s eta=160s eval(20)=0.600
  [seed=1003] step=6000/15000 avg_step=17.4ms elapsed=104s eta=157s eval(20)=0.650
  [seed=1003] step=6200/15000 avg_step=17.5ms elapsed=108s eta=154s eval(20)=0.700
  [seed=1003] step=6400/15000 avg_step=17.5ms elapsed=112s eta=150s eval(20)=0.450
  [seed=1003] step=6600/15000 avg_step=17.5ms elapsed=116s eta=147s eval(20)=0.450
  [seed=1003] step=6800/15000 avg_step=17.6ms elapsed=119s eta=144s eval(20)=0.600
  [seed=1003] step=7000/15000 avg_step=17.6ms elapsed=123s eta=141s eval(20)=0.650
  [seed=1003] step=7200/15000 avg_step=17.6ms elapsed=127s eta=137s eval(20)=0.600
